id,school_id,class_id,bookName,subject,publication,vendor,category,invoiceRef,strength,purchased,distributed,returned,balance,booksRequired,remarks,created_by,created_time,modified_by,modified_time
L_iymwhh5b,7,108,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-7-108-02,44,50,40,0,10,0,For classroom use,staff,2026-07-21 10:49:00,staff,2026-07-23 13:49:00
L_lz9jffex,7,504,Science Textbook,Science,NCERT,Scholastic Supplies,book,INV-7-504-01,54,70,51,4,23,0,New academic session,staff,2026-07-19 13:18:00,staff,2026-07-20 16:18:00
L_mhhoicir,7,504,English Reader,English,Oxford University Press,Bright Books,book,INV-7-504-02,58,60,55,4,9,0,New academic session,admin,2026-07-23 13:51:00,staff,2026-07-23 13:51:00
L_50bl4n5l,7,405,English Reader,English,Oxford University Press,Bright Books,book,INV-7-405-01,36,49,33,0,16,0,New academic session,admin,2026-07-21 10:20:00,admin,2026-07-22 14:20:00
L_pnsb6g8i,7,405,Social Science Textbook,Social Science,NCERT,Academic Books India,book,INV-7-405-02,39,42,37,4,9,0,New academic session,staff,2026-07-14 15:48:00,admin,2026-07-16 19:48:00
L_53dgpx35,8,109,A4 Notebook,General,Classmate,Stationery Hub,stationary,INV-8-109-01,43,51,39,1,13,0,Issued for current term,staff,2026-07-19 13:05:00,admin,2026-07-20 15:05:00
L_ez83hzeo,8,109,Geometry Box,Mathematics,Camlin,EduMart,stationary,INV-8-109-02,44,52,36,1,17,0,Issued for current term,admin,2026-07-19 15:25:00,admin,2026-07-19 15:25:00
L_9fbt6k7u,8,604,English Reader,English,Oxford University Press,Bright Books,book,INV-8-604-01,41,41,38,0,3,0,New academic session,admin,2026-07-12 10:36:00,admin,2026-07-14 15:36:00
L_m5njrrde,8,604,Social Science Textbook,Social Science,NCERT,Academic Books India,book,INV-8-604-02,36,38,33,2,7,0,For classroom use,staff,2026-07-15 17:00:00,staff,2026-07-16 19:00:00
L_f9w8bkf1,8,705,Social Science Textbook,Social Science,NCERT,Academic Books India,book,INV-8-705-01,36,45,31,3,17,0,Stock verified,admin,2026-07-18 09:07:00,admin,2026-07-20 11:07:00
L_9p644it0,8,705,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-8-705-02,38,39,37,3,5,0,Issued for current term,staff,2026-07-23 11:11:00,staff,2026-07-24 11:11:00
L_wz3ps885,9,100,Practical Record Book,Science,Navneet,School Supplies Co.,stationary,INV-9-100-01,38,52,33,0,19,0,Issued for current term,admin,2026-07-23 13:03:00,staff,2026-07-24 16:03:00
L_z2vijyn9,9,100,Mathematics Textbook,Mathematics,NCERT,Academic Books India,book,INV-9-100-02,36,44,28,4,20,0,Issued for current term,admin,2026-07-20 13:12:00,admin,2026-07-21 15:12:00
L_r1vc1k14,9,704,Social Science Textbook,Social Science,NCERT,Academic Books India,book,INV-9-704-01,11,27,11,3,19,0,For classroom use,staff,2026-07-21 16:19:00,admin,2026-07-23 20:19:00
L_egf5hhia,9,704,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-9-704-02,14,14,11,4,7,0,For classroom use,admin,2026-07-26 09:31:00,admin,2026-07-28 10:31:00
L_3hgrdq0o,9,185,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-9-185-01,42,51,40,3,14,0,Stock verified,admin,2026-07-23 12:27:00,admin,2026-07-25 13:27:00
L_xfkf0120,9,185,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-9-185-02,31,43,31,4,16,0,Stock verified,staff,2026-07-12 10:52:00,admin,2026-07-14 11:52:00
